student_id,course_type,institute_tier,region,cgpa,internship_months,employer_tier,iqi,behavioral_activity_score,field_demand_score,macro_climate_index,monthly_emi,placed_3m,placed_6m,placed_12m,actual_salary
AMCAT-203097,Engineering,B,Hyderabad,7.8,5,SME,0.305,58,53,0.84,15000,0,0,1,420000
AMCAT-579905,Engineering,B,Mumbai,7.01,6,MNC,0.391,59,48,0.78,11500,0,0,0,500000
AMCAT-810601,Engineering,B,Delhi NCR,7.0,5,SME,0.287,76,50,0.88,16000,1,1,1,325000
AMCAT-267447,Engineering,A,Delhi NCR,7.46,5,MNC,0.346,50,53,0.84,20500,1,1,1,1100000
AMCAT-343523,Engineering,B,Delhi NCR,7.39,5,Startup,0.307,26,48,0.78,9000,0,0,0,200000
AMCAT-1027655,Engineering,B,Bengaluru,7.63,5,SME,0.325,25,48,0.88,10500,1,1,1,300000
AMCAT-947847,Engineering,B,Bengaluru,7.3,4,SME,0.263,76,52,0.88,14500,1,1,1,300000
AMCAT-912934,Engineering,A,Chennai,8.58,4,SME,0.317,60,57,0.93,17000,1,1,1,400000
AMCAT-552574,Engineering,A,Delhi NCR,8.5,4,MNC,0.34,52,49,0.76,18000,1,1,1,600000
AMCAT-1203363,Engineering,B,Chennai,7.8,4,Startup,0.322,20,48,0.88,12000,1,1,1,230000
AMCAT-087291,Engineering,B,Mumbai,7.49,4,MNC,0.297,55,53,0.87,16000,0,0,1,600000
AMCAT-190393,Engineering,A,Mumbai,7.23,5,SME,0.34,39,50,0.84,20000,1,1,1,450000
AMCAT-606655,Engineering,B,Mumbai,6.0,4,Startup,0.268,60,46,0.76,14000,0,1,1,270000
AMCAT-431800,Engineering,B,Delhi NCR,6.0,4,Startup,0.293,48,48,0.78,17000,0,0,0,200000
AMCAT-1279958,Engineering,B,Delhi NCR,6.77,4,SME,0.301,75,53,0.76,15000,1,1,1,300000
AMCAT-536517,Engineering,B,Delhi NCR,6.3,4,SME,0.255,97,50,0.78,12000,0,0,0,350000
AMCAT-1087625,Engineering,B,Delhi NCR,6.48,4,SME,0.344,81,48,0.88,15000,1,1,1,325000
AMCAT-711342,Engineering,B,Delhi NCR,6.95,5,Startup,0.277,70,52,0.76,11500,0,0,1,120000
AMCAT-466888,Engineering,B,Delhi NCR,7.63,3,SME,0.256,63,53,0.78,16000,0,0,0,325000
AMCAT-140069,Engineering,B,Bengaluru,7.82,3,SME,0.269,63,53,0.87,14000,0,1,1,320000
AMCAT-339689,Engineering,B,Delhi NCR,7.4,4,Startup,0.26,16,50,0.78,13500,1,1,1,200000
AMCAT-995191,Engineering,B,Hyderabad,7.6,3,Startup,0.25,19,48,0.76,12500,0,1,1,190000
AMCAT-990077,Engineering,B,Bengaluru,5.55,2,Startup,0.188,0,48,0.88,17000,1,1,1,180000
AMCAT-963123,Engineering,B,Hyderabad,7.6,4,SME,0.339,69,52,0.88,13500,1,1,1,335000
AMCAT-350211,Engineering,B,Delhi NCR,7.8,5,SME,0.325,44,52,0.78,13000,1,1,1,435000
AMCAT-065096,Engineering,B,Chennai,6.62,3,SME,0.217,31,53,0.87,13000,0,0,1,345000
AMCAT-810458,Engineering,B,Delhi NCR,7.64,5,SME,0.309,78,48,0.88,15500,1,1,1,300000
AMCAT-918981,Engineering,B,Delhi NCR,7.2,4,Startup,0.288,72,48,0.91,15000,1,1,1,145000
AMCAT-472956,Engineering,B,Delhi NCR,6.8,3,Startup,0.243,0,50,0.88,15000,0,1,1,220000
AMCAT-192703,Engineering,B,Hyderabad,7.72,5,MNC,0.295,57,53,0.84,15000,0,1,1,530000
