student_id,course_type,institute_tier,region,cgpa,internship_months,employer_tier,iqi,behavioral_activity_score,field_demand_score,macro_climate_index,monthly_emi,placed_3m,placed_6m,placed_12m,actual_salary
STU-2026-00000,Nursing,A,Mumbai,8.6,2,MNC,0.15,57,80,0.75,15000,0,1,1,74000
STU-2026-00001,Nursing,A,Chennai,9.46,5,MNC,0.375,75,63,0.65,30000,0,1,1,93000
STU-2026-00002,MBA,A,Mumbai,8.39,0,None,0.0,22,44,0.54,15000,0,0,1,113000
STU-2026-00003,Nursing,A,Hyderabad,7.47,0,None,0.0,32,92,0.58,30000,0,1,1,45000
STU-2026-00004,MBA,B,Pune,6.96,1,MNC,0.075,62,53,0.64,25000,0,0,1,66000
STU-2026-00005,MBA,C,Bengaluru,6.08,0,None,0.0,86,70,0.49,20000,0,0,1,35000
STU-2026-00006,Engineering,A,Pune,8.37,0,None,0.0,21,50,0.62,20000,0,1,1,88000
STU-2026-00007,Nursing,C,Mumbai,6.66,5,MNC,0.375,32,48,0.53,25000,0,0,1,45000
STU-2026-00008,Engineering,C,Chennai,7.21,3,SME,0.113,0,75,0.56,15000,0,0,0,50000
STU-2026-00009,Nursing,A,Mumbai,9.02,3,MNC,0.225,79,57,0.57,15000,0,1,1,98000
STU-2026-00010,Engineering,D,Delhi NCR,6.22,0,None,0.0,35,53,0.48,20000,0,0,0,34000
STU-2026-00011,Engineering,C,Delhi NCR,6.71,0,None,0.0,65,75,0.54,20000,0,0,1,47000
STU-2026-00012,Nursing,A,Hyderabad,8.17,5,SME,0.188,91,31,0.68,15000,0,1,1,71000
STU-2026-00013,Engineering,D,Pune,6.91,0,None,0.0,0,67,0.64,30000,0,0,1,29000
STU-2026-00014,Engineering,C,Mumbai,5.83,0,None,0.0,27,84,0.63,10000,0,0,0,36000
STU-2026-00015,MBA,D,Delhi NCR,6.92,0,None,0.0,64,59,0.57,30000,0,0,0,31000
STU-2026-00016,Nursing,C,Bengaluru,7.16,4,SME,0.15,47,70,0.58,25000,0,0,0,33000
STU-2026-00017,Engineering,C,Bengaluru,6.39,0,None,0.0,20,68,0.64,30000,0,0,1,37000
STU-2026-00018,Nursing,C,Chennai,7.11,5,Startup,0.263,38,41,0.6,20000,0,0,1,53000
STU-2026-00019,Engineering,B,Hyderabad,7.31,1,MNC,0.075,66,69,0.48,15000,0,1,1,65000
STU-2026-00020,Nursing,B,Chennai,8.29,1,Startup,0.052,42,91,0.46,25000,0,1,1,65000
STU-2026-00021,Nursing,D,Hyderabad,5.61,0,None,0.0,26,71,0.55,30000,0,0,0,0
STU-2026-00022,Engineering,A,Chennai,8.25,3,SME,0.113,39,77,0.51,20000,0,1,1,83000
STU-2026-00023,Engineering,C,Pune,6.41,0,None,0.0,60,52,0.62,10000,0,0,1,28000
STU-2026-00024,Nursing,C,Hyderabad,7.02,5,MNC,0.375,46,82,0.48,20000,0,0,1,45000
STU-2026-00025,Nursing,B,Bengaluru,7.8,2,SME,0.075,65,75,0.53,30000,0,1,1,49000
STU-2026-00026,Engineering,C,Pune,5.94,0,None,0.0,87,77,0.48,20000,0,0,1,29000
STU-2026-00027,MBA,B,Mumbai,8.29,5,MNC,0.375,83,58,0.7,10000,0,1,1,119000
STU-2026-00028,Nursing,D,Mumbai,9.08,5,MNC,0.375,34,59,0.51,15000,0,0,1,42000
STU-2026-00029,Nursing,D,Hyderabad,7.21,0,None,0.0,47,82,0.6,30000,0,0,1,24000
STU-2026-00030,Nursing,D,Bengaluru,10.0,6,SME,0.225,56,57,0.49,15000,0,0,1,41000
STU-2026-00031,Nursing,C,Pune,7.66,6,Startup,0.315,52,69,0.52,25000,0,0,1,40000
STU-2026-00032,Nursing,D,Mumbai,7.83,0,None,0.0,45,51,0.62,10000,0,0,1,23000
STU-2026-00033,MBA,A,Hyderabad,8.32,5,MNC,0.375,61,53,0.64,10000,0,1,1,171000
STU-2026-00034,Engineering,A,Bengaluru,9.04,0,None,0.0,32,56,0.65,10000,0,1,1,100000
STU-2026-00035,MBA,A,Hyderabad,10.0,6,Startup,0.315,71,87,0.7,15000,1,1,1,161000
STU-2026-00036,Nursing,B,Chennai,8.26,5,SME,0.188,45,66,0.55,25000,0,1,1,74000
STU-2026-00037,Engineering,D,Pune,4.56,0,None,0.0,57,46,0.55,10000,0,0,0,21000
STU-2026-00038,Nursing,D,Delhi NCR,5.51,0,None,0.0,22,80,0.53,25000,0,0,0,19000
STU-2026-00039,Nursing,A,Chennai,7.68,6,MNC,0.45,100,80,0.4,10000,0,1,1,77000
STU-2026-00040,MBA,C,Mumbai,7.82,0,None,0.0,20,68,0.65,15000,0,0,1,46000
STU-2026-00041,Nursing,D,Bengaluru,6.4,0,None,0.0,28,60,0.78,20000,0,0,0,18000
STU-2026-00042,MBA,B,Mumbai,8.42,5,MNC,0.375,100,85,0.45,10000,0,1,1,128000
STU-2026-00043,Nursing,A,Mumbai,7.63,2,MNC,0.15,69,82,0.51,25000,0,1,1,35000
STU-2026-00044,MBA,D,Bengaluru,5.57,1,MNC,0.075,34,51,0.76,25000,0,0,0,0
STU-2026-00045,Engineering,D,Delhi NCR,6.27,4,Startup,0.21,43,92,0.46,25000,0,0,1,35000
STU-2026-00046,Nursing,D,Bengaluru,5.62,0,None,0.0,52,73,0.54,15000,0,0,0,18000
STU-2026-00047,Engineering,A,Chennai,8.29,1,SME,0.037,73,94,0.48,25000,1,1,1,63000
STU-2026-00048,Nursing,B,Mumbai,7.35,1,MNC,0.075,72,74,0.54,10000,0,0,1,41000
STU-2026-00049,Nursing,A,Chennai,7.73,4,MNC,0.3,77,75,0.53,30000,0,1,1,81000
STU-2026-00050,Engineering,A,Hyderabad,8.85,0,None,0.0,73,58,0.54,30000,0,1,1,99000
STU-2026-00051,Nursing,C,Delhi NCR,6.77,0,None,0.0,43,89,0.54,20000,0,0,1,28000
STU-2026-00052,Engineering,C,Pune,6.54,0,None,0.0,67,82,0.68,20000,0,0,1,37000
STU-2026-00053,MBA,C,Mumbai,7.62,0,None,0.0,32,75,0.59,30000,0,0,1,59000
STU-2026-00054,Nursing,A,Mumbai,7.55,5,Startup,0.263,100,55,0.48,15000,0,1,1,82000
STU-2026-00055,MBA,A,Bengaluru,8.7,2,Startup,0.105,73,70,0.51,30000,0,1,1,111000
STU-2026-00056,Nursing,C,Hyderabad,7.97,6,SME,0.225,36,58,0.57,10000,0,0,1,38000
STU-2026-00057,Nursing,C,Chennai,5.81,0,None,0.0,46,74,0.55,15000,0,0,0,26000
STU-2026-00058,MBA,A,Mumbai,7.04,2,Startup,0.105,32,59,0.58,20000,0,0,1,122000
STU-2026-00059,Nursing,B,Chennai,8.36,6,SME,0.225,57,70,0.5,20000,0,1,1,55000
STU-2026-00060,Nursing,D,Delhi NCR,7.19,1,MNC,0.075,19,78,0.75,25000,0,0,1,28000
STU-2026-00061,MBA,A,Mumbai,8.75,2,SME,0.075,52,73,0.6,20000,0,1,1,107000
STU-2026-00062,Engineering,D,Hyderabad,6.83,5,MNC,0.375,52,92,0.7,10000,0,1,1,38000
STU-2026-00063,Engineering,B,Hyderabad,8.37,0,None,0.0,64,100,0.52,20000,0,0,1,57000
STU-2026-00064,Nursing,B,Pune,5.38,0,None,0.0,49,59,0.62,20000,0,0,1,38000
STU-2026-00065,MBA,A,Delhi NCR,8.96,2,SME,0.075,48,57,0.65,10000,0,0,1,158000
STU-2026-00066,MBA,D,Hyderabad,8.22,2,MNC,0.15,28,44,0.74,15000,0,0,1,64000
STU-2026-00067,MBA,A,Bengaluru,6.92,3,Startup,0.157,48,70,0.6,15000,0,0,1,113000
STU-2026-00068,MBA,B,Chennai,6.43,0,None,0.0,57,72,0.65,10000,0,0,1,50000
STU-2026-00069,MBA,B,Bengaluru,5.97,4,Startup,0.21,86,75,0.53,20000,0,1,1,68000
STU-2026-00070,Engineering,B,Mumbai,8.68,4,Startup,0.21,61,100,0.78,20000,0,1,1,89000
STU-2026-00071,Engineering,C,Delhi NCR,7.57,4,SME,0.15,74,56,0.67,30000,0,1,1,37000
STU-2026-00072,MBA,A,Mumbai,7.25,3,MNC,0.225,19,66,0.67,30000,0,1,1,115000
STU-2026-00073,MBA,A,Mumbai,9.5,3,SME,0.113,32,44,0.59,20000,0,1,1,135000
STU-2026-00074,MBA,A,Pune,6.55,2,Startup,0.105,58,50,0.67,10000,0,1,1,80000
STU-2026-00075,Nursing,D,Mumbai,6.18,5,SME,0.188,14,69,0.7,15000,0,0,0,27000
STU-2026-00076,MBA,D,Mumbai,6.16,3,SME,0.113,20,68,0.5,20000,0,0,0,32000
STU-2026-00077,Nursing,A,Chennai,9.77,5,Startup,0.263,61,60,0.62,25000,0,1,1,92000
STU-2026-00078,MBA,D,Chennai,7.54,0,None,0.0,59,62,0.54,15000,0,0,0,28000
STU-2026-00079,Engineering,D,Chennai,4.98,6,SME,0.225,74,95,0.58,15000,0,0,1,29000
STU-2026-00080,Nursing,C,Pune,10.0,1,Startup,0.052,68,68,0.5,20000,0,0,1,46000
STU-2026-00081,Engineering,D,Hyderabad,5.89,3,Startup,0.157,4,60,0.49,25000,0,0,1,35000
STU-2026-00082,MBA,B,Hyderabad,7.49,6,MNC,0.45,90,71,0.51,10000,1,1,1,109000
STU-2026-00083,MBA,C,Mumbai,5.56,2,SME,0.075,35,57,0.46,20000,0,0,1,55000
STU-2026-00084,Engineering,B,Bengaluru,6.1,0,None,0.0,71,60,0.55,15000,0,0,1,39000
STU-2026-00085,MBA,A,Pune,8.24,6,SME,0.225,43,74,0.59,15000,0,1,1,112000
STU-2026-00086,Nursing,D,Pune,6.11,0,None,0.0,59,78,0.5,15000,0,0,0,23000
STU-2026-00087,Nursing,A,Mumbai,6.86,2,MNC,0.15,71,60,0.66,30000,0,0,1,44000
